ID,Expression,HalideResult,HalideTime
23,( == ( + ( * ( + ( * v0 9 ) v1 ) 4 ) ( + ( * v2 72 ) ( + v3 v4 ) ) ) ( + ( * ( + ( * v0 9 ) v1 ) 4 ) ( + ( * v2 72 ) ( + v3 v4 ) ) ) ),1,89
24,( == ( - ( + ( * v0 4 ) ( + v1 v2 ) ) 247 ) ( - ( + ( - ( + ( * v0 4 ) ( + v1 v2 ) ) 247 ) 7 ) 1 ) ),0,51
25,( == ( + ( * v0 -64 ) ( + ( * v1 -128 ) ( + v2 v3 ) ) ) ( + ( * v0 -64 ) ( + ( * v1 -128 ) ( + v2 v3 ) ) ) ),1,46
26,( == ( min ( + ( * v0 259 ) ( + ( max ( * v1 500 ) -15 ) ( + v2 v3 ) ) ) ( + ( + ( * v1 500 ) ( + v2 v3 ) ) 244 ) ) ( min ( + ( * v0 259 ) ( + ( max ( * v1 500 ) -15 ) ( + v2 v3 ) ) ) ( + ( + ( * v1 500 ) ( + v2 v3 ) ) 244 ) ) ),1,85
27,( == ( min ( + ( * v0 504 ) 494 ) v1 ) ( min ( + ( * v0 504 ) 494 ) v1 ) ),1,34
28,( == ( min ( + ( * v0 1008 ) 993 ) v1 ) ( min ( + ( * v0 1008 ) 993 ) v1 ) ),1,30
29,( >= v0 ( + v0 1 ) ),0,32
30,( == ( max ( min ( max ( / ( - 234 ( + ( * ( / v0 5 ) 672 ) v1 ) ) 225 ) 0 ) ( / ( + ( min v2 657 ) 242 ) 225 ) ) ( + ( / ( min ( - 1785 ( + ( * ( / v0 5 ) 672 ) v1 ) ) ( - ( - v3 ( * ( / v0 5 ) 672 ) ) 208 ) ) 225 ) 1 ) ) ( max ( min ( max ( / ( - 234 ( + ( * ( / v0 5 ) 672 ) v1 ) ) 225 ) 0 ) ( / ( + ( min v2 657 ) 242 ) 225 ) ) ( + ( / ( min ( - 1785 ( + ( * ( / v0 5 ) 672 ) v1 ) ) ( - ( - v3 ( * ( / v0 5 ) 672 ) ) 208 ) ) 225 ) 1 ) ) ),1,172
31,( == ( - v0 ( * v1 1008 ) ) ( - v0 ( * v1 1008 ) ) ),1,26
32,( == ( + ( * v0 504 ) ( + ( * v1 1008 ) v2 ) ) ( + ( * v0 504 ) ( + ( * v1 1008 ) v2 ) ) ),1,61
33,( == ( + ( max ( - ( * v0 128 ) v1 ) -128 ) ( * v2 4 ) ) ( + ( max ( - ( * v0 128 ) v1 ) -128 ) ( * v2 4 ) ) ),1,58
34,( < v0 ( + v0 1 ) ),1,26
35,( == ( min ( + ( + ( * v0 508 ) ( + ( * v1 1004 ) v2 ) ) 496 ) ( + ( min ( + ( * v1 1004 ) 997 ) v3 ) v2 ) ) ( min ( + ( + ( * v0 508 ) ( + ( * v1 1004 ) v2 ) ) 496 ) ( + ( min ( + ( * v1 1004 ) 997 ) v3 ) v2 ) ) ),1,79
36,( == ( min ( + ( * v0 4 ) ( + ( max ( * v1 16 ) -3 ) ( + v2 v3 ) ) ) ( + ( + ( * v1 16 ) ( + v2 v3 ) ) 12 ) ) ( min ( + ( * v0 4 ) ( + ( max ( * v1 16 ) -3 ) ( + v2 v3 ) ) ) ( + ( + ( * v1 16 ) ( + v2 v3 ) ) 12 ) ) ),1,82
37,( == ( + ( * v0 672 ) 657 ) ( + ( * v0 672 ) 657 ) ),1,54
38,( == ( / ( + v0 36 ) 32 ) ( / ( + v0 36 ) 32 ) ),1,20
39,( == ( / ( + v0 1022 ) 1008 ) ( / ( + v0 1022 ) 1008 ) ),1,87
40,( == ( min ( * ( / ( + v0 17 ) 4 ) 4 ) ( + v0 18 ) ) ( min ( * ( / ( + v0 17 ) 4 ) 4 ) ( + v0 18 ) ) ),1,46
41,( == ( min ( - ( - ( - ( + v0 v1 ) ( * v2 128 ) ) ( * v3 64 ) ) v1 ) ( + ( min ( - ( - ( + v0 v1 ) ( * v2 128 ) ) ( + ( * v3 64 ) v1 ) ) 59 ) 3 ) ) ( min ( - ( - ( - ( + v0 v1 ) ( * v2 128 ) ) ( * v3 64 ) ) v1 ) ( + ( min ( - ( - ( + v0 v1 ) ( * v2 128 ) ) ( + ( * v3 64 ) v1 ) ) 59 ) 3 ) ) ),1,113
42,( > ( - 10 ( + ( * v0 1009 ) v1 ) ) ( - 2009 ( + ( * v0 1009 ) v1 ) ) ),0,96
43,( == ( min ( + ( * v0 1008 ) 993 ) v1 ) ( min ( + ( * v0 1008 ) 993 ) v1 ) ),1,63
44,( == ( + ( + ( * v0 128 ) ( + ( + ( * ( / ( + ( min ( + ( * v1 -64 ) ( + ( * v0 -128 ) v2 ) ) 54 ) 14 ) 36 ) 36 ) ( * v1 64 ) ) v3 ) ) ( + ( min ( - ( - ( - ( + v2 v3 ) ( * v0 128 ) ) ( * v1 64 ) ) v3 ) -11 ) ( * ( min ( / ( + ( min ( - ( - ( - ( + v2 v3 ) ( * v0 128 ) ) ( * v1 64 ) ) v3 ) 54 ) 14 ) 4 ) 8 ) 4 ) ) ) ( + ( + ( * v0 128 ) ( + ( + ( * ( / ( + ( min ( + ( * v1 -64 ) ( + ( * v0 -128 ) v2 ) ) 54 ) 14 ) 36 ) 36 ) ( * v1 64 ) ) v3 ) ) ( + ( min ( - ( - ( - ( + v2 v3 ) ( * v0 128 ) ) ( * v1 64 ) ) v3 ) -11 ) ( * ( min ( / ( + ( min ( - ( - ( - ( + v2 v3 ) ( * v0 128 ) ) ( * v1 64 ) ) v3 ) 54 ) 14 ) 4 ) 8 ) 4 ) ) ) ),1,178
45,( != ( / ( + v0 6 ) 4 ) 0 ),0,739
46,( == ( - ( - 93 ( max ( * v0 63 ) 62 ) ) ( * v1 32 ) ) ( - ( - 93 ( max ( * v0 63 ) 62 ) ) ( * v1 32 ) ) ),1,44
47,( == ( min ( + ( * v0 4 ) v1 ) ( + v2 14 ) ) ( min ( + ( * v0 4 ) v1 ) ( + v2 14 ) ) ),1,40
48,( == ( - v0 ( * ( + ( * v1 8 ) v2 ) 4 ) ) ( - v0 ( * ( + ( * v1 8 ) v2 ) 4 ) ) ),1,45
49,( == ( max ( + ( + v0 v1 ) 13 ) ( + ( * v2 508 ) v3 ) ) ( max ( + ( + v0 v1 ) 13 ) ( + ( * v2 508 ) v3 ) ) ),1,44
50,( == ( - ( / ( + ( + v0 v1 ) 31 ) 4 ) ( + v2 v3 ) ) ( - ( / ( + ( + v0 v1 ) 31 ) 4 ) ( + v2 v3 ) ) ),1,71
51,( == ( + ( * v0 225 ) ( + ( * ( / v1 5 ) 672 ) v2 ) ) ( + ( * v0 225 ) ( + ( * ( / v1 5 ) 672 ) v2 ) ) ),1,147
52,( == ( + ( min ( * v0 16 ) 47 ) ( * v1 63 ) ) ( + ( min ( * v0 16 ) 47 ) ( * v1 63 ) ) ),1,45
53,( == ( + ( * v0 3 ) ( + ( * v1 64 ) ( + ( * v2 128 ) v3 ) ) ) ( + ( * v0 3 ) ( + ( * v1 64 ) ( + ( * v2 128 ) v3 ) ) ) ),1,66
54,( == ( max ( - ( + ( * v0 508 ) v1 ) ( min ( - ( + v2 v1 ) ( * v3 1004 ) ) ( + ( + ( min ( * v0 508 ) 501 ) v1 ) 496 ) ) ) ( + ( max ( - ( * v3 1004 ) v2 ) -997 ) ( * v0 508 ) ) ) ( max ( - ( + ( * v0 508 ) v1 ) ( min ( - ( + v2 v1 ) ( * v3 1004 ) ) ( + ( + ( min ( * v0 508 ) 501 ) v1 ) 496 ) ) ) ( + ( max ( - ( * v3 1004 ) v2 ) -997 ) ( * v0 508 ) ) ) ),1,112
55,( == ( / ( + v0 78 ) 64 ) ( / ( + v0 78 ) 64 ) ),1,29
56,( == ( max ( - ( + ( * v0 508 ) v1 ) ( min ( - ( + v2 v1 ) ( * v3 1004 ) ) ( + ( + ( min ( * v0 508 ) 501 ) v1 ) 496 ) ) ) ( + ( max ( - ( * v3 1004 ) v2 ) -997 ) ( * v0 508 ) ) ) ( max ( - ( + ( * v0 508 ) v1 ) ( min ( - ( + v2 v1 ) ( * v3 1004 ) ) ( + ( + ( min ( * v0 508 ) 501 ) v1 ) 496 ) ) ) ( + ( max ( - ( * v3 1004 ) v2 ) -997 ) ( * v0 508 ) ) ) ),1,122
57,( >= v0 ( + ( - v0 1 ) 1 ) ),1,48
58,( == ( - v0 ( * ( / v1 4 ) 500 ) ) ( - v0 ( * ( / v1 4 ) 500 ) ) ),1,37
59,( == ( + ( + ( + v0 v1 ) v2 ) 15 ) ( + ( + ( + v0 v1 ) v2 ) 15 ) ),1,42
60,( && ( && ( && ( && ( && ( && 1 ( <= ( + -5 v0 ) ( + -5 v0 ) ) ) ( >= ( + ( - ( - 6 5 ) 1 ) v0 ) ( + ( - ( - 6 5 ) 1 ) v0 ) ) ) ( <= ( + -5 v1 ) ( + -5 v1 ) ) ) ( >= ( + ( - ( - 6 5 ) 1 ) v1 ) ( + ( - ( - 6 5 ) 1 ) v1 ) ) ) ( <= ( + ( * 0 4 ) 0 ) 0 ) ) ( >= ( + ( * ( - ( + 3 0 ) 1 ) 4 ) 3 ) 8 ) ),1,161
61,( == ( - v0 ( * v1 63 ) ) ( - v0 ( * v1 63 ) ) ),1,29
62,( == ( + ( * v0 252 ) ( + ( * v1 3 ) v2 ) ) ( + ( * v0 252 ) ( + ( * v1 3 ) v2 ) ) ),1,38
63,( == ( min ( + ( * v0 64 ) v1 ) ( - v2 62 ) ) ( min ( + ( * v0 64 ) v1 ) ( - v2 62 ) ) ),1,49
64,( == ( min ( + ( min ( min ( * v0 8 ) ( + ( * ( / ( + ( min ( min ( + ( * v1 -126 ) v2 ) ( - ( * v0 8 ) 2 ) ) 116 ) 2 ) 4 ) 4 ) 3 ) ) 118 ) ( + ( * v1 126 ) v3 ) ) ( + ( + v2 v3 ) 2 ) ) ( min ( + ( min ( min ( * v0 8 ) ( + ( * ( / ( + ( min ( min ( + ( * v1 -126 ) v2 ) ( - ( * v0 8 ) 2 ) ) 116 ) 2 ) 4 ) 4 ) 3 ) ) 118 ) ( + ( * v1 126 ) v3 ) ) ( + ( + v2 v3 ) 2 ) ) ),1,128
65,( == ( * ( / ( * v0 -64 ) 4 ) 4 ) ( * v0 -64 ) ),1,39
66,( == ( + ( * v0 4 ) ( + ( * v1 64 ) v2 ) ) ( + ( * v0 4 ) ( + ( * v1 64 ) v2 ) ) ),1,58
67,( == ( * ( / ( min ( * v0 252 ) 748 ) 4 ) 4 ) ( min ( * v0 252 ) 748 ) ),1,63
68,( == ( min ( + ( * ( / v0 5 ) 672 ) 657 ) v1 ) ( min ( + ( * ( / v0 5 ) 672 ) 657 ) v1 ) ),1,62
69,( == ( + ( min ( * v0 16 ) 127 ) ( + v1 v2 ) ) ( + ( min ( * v0 16 ) 127 ) ( + v1 v2 ) ) ),1,38
70,( == ( - ( - ( + v0 v1 ) ( * v2 128 ) ) ( * v3 4 ) ) ( - ( - ( + v0 v1 ) ( * v2 128 ) ) ( * v3 4 ) ) ),1,47
71,( == ( / ( + ( - ( max ( min ( + v0 v1 ) 1992 ) -7 ) ( max ( min v1 2009 ) 10 ) ) 1017 ) 1000 ) ( / ( + ( - ( max ( min ( + v0 v1 ) 1992 ) -7 ) ( max ( min v1 2009 ) 10 ) ) 1017 ) 1000 ) ),1,255
72,( == ( + ( * v0 504 ) ( + ( * v1 1008 ) v2 ) ) ( + ( * v0 504 ) ( + ( * v1 1008 ) v2 ) ) ),1,32
73,( == ( min ( + ( * v0 36 ) ( + ( * v1 72 ) ( + v2 v3 ) ) ) ( + ( + v2 v3 ) 104 ) ) ( min ( + ( * v0 36 ) ( + ( * v1 72 ) ( + v2 v3 ) ) ) ( + ( + v2 v3 ) 104 ) ) ),1,78
74,( == ( min ( + ( + ( * v0 508 ) ( + ( * v1 1000 ) v2 ) ) 498 ) ( + v3 v2 ) ) ( min ( + ( + ( * v0 508 ) ( + ( * v1 1000 ) v2 ) ) 498 ) ( + v3 v2 ) ) ),1,58
75,( == ( min ( / ( + ( + v0 v1 ) 31 ) 4 ) ( - ( + ( / v1 4 ) ( * ( / ( + v2 6 ) 4 ) 4 ) ) 3 ) ) ( min ( / ( + ( + v0 v1 ) 31 ) 4 ) ( - ( + ( / v1 4 ) ( * ( / ( + v2 6 ) 4 ) 4 ) ) 3 ) ) ),1,108
76,( == ( + ( / ( - ( / ( - ( + v0 v1 ) 1 ) 4 ) ( / v1 4 ) ) 4 ) 1 ) ( + ( / ( - ( / ( - ( + v0 v1 ) 1 ) 4 ) ( / v1 4 ) ) 4 ) 1 ) ),1,88
77,( == ( - ( / ( + ( + ( * v0 63 ) ( + v1 v2 ) ) 66 ) 4 ) ( + ( / v3 4 ) ( * v4 4 ) ) ) ( - ( / ( + ( + ( * v0 63 ) ( + v1 v2 ) ) 66 ) 4 ) ( + ( / v3 4 ) ( * v4 4 ) ) ) ),1,76
78,( == ( min ( max ( min v0 1913 ) -86 ) ( + ( max ( min v0 1916 ) -83 ) ( * v1 4 ) ) ) ( min ( max ( min v0 1913 ) -86 ) ( + ( max ( min v0 1916 ) -83 ) ( * v1 4 ) ) ) ),1,68
79,( == ( / ( + v0 62 ) 63 ) ( / ( + v0 62 ) 63 ) ),1,23
80,( == ( - v0 ( * ( + ( * v1 252 ) ( + ( * v2 63 ) v3 ) ) 4 ) ) ( - v0 ( * ( + ( * v1 252 ) ( + ( * v2 63 ) v3 ) ) 4 ) ) ),1,51
81,( != ( / ( + v0 261 ) 252 ) 0 ),0,647
82,( == ( + ( / ( + ( - ( - ( min ( + ( + ( min ( * v0 508 ) 502 ) ( + ( * v1 1000 ) v2 ) ) 498 ) ( + v3 v2 ) ) ( * v0 508 ) ) v2 ) 14 ) 4 ) ( * v0 127 ) ) ( + ( / ( + ( - ( - ( min ( + ( + ( min ( * v0 508 ) 502 ) ( + ( * v1 1000 ) v2 ) ) 498 ) ( + v3 v2 ) ) ( * v0 508 ) ) v2 ) 14 ) 4 ) ( * v0 127 ) ) ),1,107
83,( == ( - v0 ( / v1 4 ) ) ( - v0 ( / v1 4 ) ) ),1,31
84,( == ( - v0 ( * ( / v1 5 ) 672 ) ) ( - v0 ( * ( / v1 5 ) 672 ) ) ),1,73
85,( != ( / ( + v0 41 ) 32 ) 0 ),0,11322
86,( == ( + ( * v0 508 ) ( + ( * v1 1004 ) v2 ) ) ( + ( * v0 508 ) ( + ( * v1 1004 ) v2 ) ) ),1,54
87,( == ( - ( / ( + v0 9 ) 4 ) ( * ( + ( * v1 2 ) v2 ) 16 ) ) ( - ( / ( + v0 9 ) 4 ) ( * ( + ( * v1 2 ) v2 ) 16 ) ) ),1,57
88,( == ( - v0 ( * v1 126 ) ) ( - v0 ( * v1 126 ) ) ),1,58
89,( == ( min ( max ( / ( - 234 ( + ( * ( / v0 5 ) 672 ) v1 ) ) 225 ) 0 ) ( / ( + ( min v2 657 ) 242 ) 225 ) ) ( min ( max ( / ( - 234 ( + ( * ( / v0 5 ) 672 ) v1 ) ) 225 ) 0 ) ( / ( + ( min v2 657 ) 242 ) 225 ) ) ),1,97
90,( == ( + ( min ( * v0 72 ) 71 ) ( + ( min ( * v1 125 ) ( - v2 125 ) ) v3 ) ) ( + ( min ( * v0 72 ) 71 ) ( + ( min ( * v1 125 ) ( - v2 125 ) ) v3 ) ) ),1,53
91,( == ( - ( / ( - v0 1 ) 4 ) ( * v1 2 ) ) ( - ( / ( - v0 1 ) 4 ) ( * v1 2 ) ) ),1,39
92,( == ( min ( + ( min ( + ( * v0 1004 ) 997 ) v1 ) v2 ) ( + ( + ( * v3 508 ) ( + ( * v0 1004 ) v2 ) ) 496 ) ) ( min ( + ( min ( + ( * v0 1004 ) 997 ) v1 ) v2 ) ( + ( + ( * v3 508 ) ( + ( * v0 1004 ) v2 ) ) 496 ) ) ),1,98
93,( == ( / ( + v0 73 ) 64 ) ( / ( + v0 73 ) 64 ) ),1,64
94,( != ( / ( + v0 267 ) 250 ) 0 ),0,602
95,( == ( + ( * v0 32 ) ( + ( min ( * v1 4 ) 46 ) ( + v2 v3 ) ) ) ( + ( * v0 32 ) ( + ( min ( * v1 4 ) 46 ) ( + v2 v3 ) ) ) ),1,66
96,( == ( - ( / v0 4 ) ( * v1 3 ) ) ( - ( / v0 4 ) ( * v1 3 ) ) ),1,102
97,( == ( + ( / ( - ( + ( min v0 981 ) v1 ) 989 ) 4 ) ( * v2 8 ) ) ( + ( / ( - ( + ( min v0 981 ) v1 ) 989 ) 4 ) ( * v2 8 ) ) ),1,53
98,( == ( - ( min ( + ( * v0 16 ) 6 ) v1 ) ( * ( + ( * v0 4 ) v2 ) 4 ) ) ( - ( min ( + ( * v0 16 ) 6 ) v1 ) ( * ( + ( * v0 4 ) v2 ) 4 ) ) ),1,58
99,( == ( - ( min ( - ( + v0 v1 ) ( * v2 1004 ) ) ( + v1 999 ) ) ( + ( * ( + ( * v3 16 ) v4 ) 4 ) ( + ( * v5 252 ) v1 ) ) ) ( - ( min ( - ( + v0 v1 ) ( * v2 1004 ) ) ( + v1 999 ) ) ( + ( * ( + ( * v3 16 ) v4 ) 4 ) ( + ( * v5 252 ) v1 ) ) ) ),1,98
100,( == ( min ( - ( / ( + ( + v0 v1 ) 31 ) 4 ) ( / v1 4 ) ) ( + v2 3 ) ) ( min ( - ( / ( + ( + v0 v1 ) 31 ) 4 ) ( / v1 4 ) ) ( + v2 3 ) ) ),1,70
101,( == ( - v0 ( * v1 12 ) ) ( - v0 ( * v1 12 ) ) ),1,26
102,( == ( * ( / ( * v0 16 ) 4 ) 4 ) ( * v0 16 ) ),1,33
103,( == ( min ( + ( * ( / v0 5 ) 672 ) 657 ) v1 ) ( min ( + ( * ( / v0 5 ) 672 ) 657 ) v1 ) ),1,151
104,( == 0 ( - ( + 0 ( + ( * ( max ( min ( - ( / ( + ( + v0 v1 ) 3 ) 4 ) v2 ) 1 ) -1 ) 4 ) 4 ) ) 1 ) ),0,131
105,( == ( - v0 ( * v1 64 ) ) ( - v0 ( * v1 64 ) ) ),1,28
106,( == ( min ( + ( * v0 8 ) ( + ( * v1 128 ) v2 ) ) ( + v3 11 ) ) ( min ( + ( * v0 8 ) ( + ( * v1 128 ) v2 ) ) ( + v3 11 ) ) ),1,51
107,( == ( - v0 ( * v1 3 ) ) ( - v0 ( * v1 3 ) ) ),1,34
108,( == ( min ( + ( * v0 252 ) 237 ) v1 ) ( min ( + ( * v0 252 ) 237 ) v1 ) ),1,34
109,( == ( min ( - v0 ( * v1 128 ) ) ( + ( min ( + ( * v1 -128 ) v0 ) 128 ) 3 ) ) ( min ( - v0 ( * v1 128 ) ) ( + ( min ( + ( * v1 -128 ) v0 ) 128 ) 3 ) ) ),1,108
110,( == ( min ( - ( - ( - ( + v0 v1 ) ( * v2 128 ) ) ( * v3 64 ) ) v1 ) ( + ( min ( - ( - ( + v0 v1 ) ( * v2 128 ) ) ( + ( * v3 64 ) v1 ) ) 54 ) 35 ) ) ( min ( - ( - ( - ( + v0 v1 ) ( * v2 128 ) ) ( * v3 64 ) ) v1 ) ( + ( min ( - ( - ( + v0 v1 ) ( * v2 128 ) ) ( + ( * v3 64 ) v1 ) ) 54 ) 35 ) ) ),1,104
111,( == ( - v0 ( * ( / v1 5 ) 672 ) ) ( - v0 ( * ( / v1 5 ) 672 ) ) ),1,56
112,( == ( - ( / v0 4 ) ( * v1 3 ) ) ( - ( / v0 4 ) ( * v1 3 ) ) ),1,43
113,( == ( + ( / v0 4 ) ( * v1 32 ) ) ( + ( / v0 4 ) ( * v1 32 ) ) ),1,36
114,( == ( / ( + v0 686 ) 672 ) ( / ( + v0 686 ) 672 ) ),1,32
115,( == ( - v0 ( * v1 126 ) ) ( - v0 ( * v1 126 ) ) ),1,26
116,( == ( - ( + ( / v0 4 ) v1 ) ( min ( - ( / ( + ( + v2 v0 ) 31 ) 4 ) ( * v3 4 ) ) ( + ( / v0 4 ) 1 ) ) ) ( - ( + ( / v0 4 ) v1 ) ( min ( - ( / ( + ( + v2 v0 ) 31 ) 4 ) ( * v3 4 ) ) ( + ( / v0 4 ) 1 ) ) ) ),1,92
117,( == ( min ( + v0 18 ) ( + v1 v2 ) ) ( min ( + v0 18 ) ( + v1 v2 ) ) ),1,32
118,( == ( + ( max ( - ( * v0 128 ) v1 ) -128 ) ( * v2 4 ) ) ( + ( max ( - ( * v0 128 ) v1 ) -128 ) ( * v2 4 ) ) ),1,54
119,( != ( + v0 1 ) 0 ),0,407
120,( == ( min ( * ( + ( * v0 2 ) v1 ) 2 ) ( + ( min ( * v0 4 ) 15 ) 2 ) ) ( min ( * ( + ( * v0 2 ) v1 ) 2 ) ( + ( min ( * v0 4 ) 15 ) 2 ) ) ),1,79
121,( == ( min ( + ( + ( * v0 126 ) ( + ( * ( / ( + ( min ( + ( * v0 -126 ) v1 ) 116 ) 2 ) 4 ) 4 ) v2 ) ) 1 ) ( + v2 v3 ) ) ( min ( + ( + ( * v0 126 ) ( + ( * ( / ( + ( min ( + ( * v0 -126 ) v1 ) 116 ) 2 ) 4 ) 4 ) v2 ) ) 1 ) ( + v2 v3 ) ) ),1,84
122,( == ( - v0 ( * ( + ( * v1 8 ) v2 ) 4 ) ) ( - v0 ( * ( + ( * v1 8 ) v2 ) 4 ) ) ),1,60
123,( == ( - ( min ( + ( + ( min ( * v0 252 ) 753 ) ( + ( * v1 1005 ) v2 ) ) 242 ) ( + v3 v2 ) ) ( + ( * v0 252 ) ( + ( * v4 4 ) ( + ( * v1 1005 ) v2 ) ) ) ) ( - ( min ( + ( + ( min ( * v0 252 ) 753 ) ( + ( * v1 1005 ) v2 ) ) 242 ) ( + v3 v2 ) ) ( + ( * v0 252 ) ( + ( * v4 4 ) ( + ( * v1 1005 ) v2 ) ) ) ) ),1,108
124,( == ( + ( * v0 1008 ) ( + ( * v1 4 ) v2 ) ) ( + ( * v0 1008 ) ( + ( * v1 4 ) v2 ) ) ),1,40
125,( >= ( - ( + v0 v1 ) 10 ) ( - ( + ( - ( + v0 v1 ) 10 ) 81 ) 1 ) ),0,56
126,( == ( + ( / ( - ( + ( min v0 981 ) v1 ) 989 ) 4 ) ( * v2 8 ) ) ( + ( / ( - ( + ( min v0 981 ) v1 ) 989 ) 4 ) ( * v2 8 ) ) ),1,54
127,( == ( + v0 5 ) ( - ( + ( + v0 5 ) 259 ) 1 ) ),0,30
128,( == ( - v0 ( * v1 1000 ) ) ( - v0 ( * v1 1000 ) ) ),1,28
129,( == ( max ( + ( + ( + v0 v1 ) ( + ( * v2 2 ) v3 ) ) 14 ) ( + ( * v2 2 ) v1 ) ) ( max ( + ( + ( + v0 v1 ) ( + ( * v2 2 ) v3 ) ) 14 ) ( + ( * v2 2 ) v1 ) ) ),1,50
130,( >= ( - ( max ( min v0 11 ) -496 ) 13 ) ( - ( + ( - ( max ( min v0 11 ) -496 ) 13 ) ( - 15 ( max ( min v0 11 ) -496 ) ) ) 1 ) ),0,88
