index,start_expression,halide_result,halide_time
25,( + ( max ( min ( + v0 ( * 3 1 ) ) ( - ( + v1 v2 ) 1 ) ) v2 ) ( - ( + ( * v3 v4 ) ( * ( max ( min ( - ( + v5 v6 ) 1 ) v7 ) v6 ) v8 ) ) ( + ( * v6 v8 ) ( + ( * v9 v4 ) v2 ) ) ) ),( + ( max ( - ( min ( + v0 4 ) ( + v1 v2 ) ) 1 ) v2 ) ( - ( + ( * v4 v3 ) ( * ( max ( min ( - ( + v5 v6 ) 1 ) v7 ) v6 ) v8 ) ) ( + ( * v6 v8 ) ( + ( * v9 v4 ) v2 ) ) ) ),16
26,( / ( + ( + v0 v1 ) 1 ) 2 ),( / ( + ( + v0 v1 ) 1 ) 2 ),6
27,( / ( + v0 258 ) 4 ),( / ( + v0 258 ) 4 ),2
28,( - ( / ( + ( + v0 v1 ) 254 ) 128 ) ( / v1 128 ) ),( - ( / ( + ( + v0 v1 ) 254 ) 128 ) ( / v1 128 ) ),11
29,( / ( / ( + v0 v1 ) 4 ) 2 ),( / ( + v0 v1 ) 8 ),19
30,( / ( - ( / ( + ( min v0 64 ) v1 ) 2 ) 32 ) 2 ),( - ( / ( + ( min v0 64 ) v1 ) 4 ) 16 ),9
31,( && ( && ( && ( && ( && 1 ( && ( != v0 v1 ) ( == v0 v1 ) ) ) ( && ( != v0 v1 ) ( == v2 v3 ) ) ) ( && ( != v0 v1 ) ( == v4 v5 ) ) ) 1 ) 1 ),0,24
32,( min ( - ( / ( - ( + v0 v1 ) 770 ) 128 ) ( / v1 128 ) ) v2 ),( min ( - ( / ( - ( + v0 v1 ) 770 ) 128 ) ( / v1 128 ) ) v2 ),11
33,( + v0 ( min ( * v1 64 ) ( - v2 64 ) ) ),( + ( min ( * v1 64 ) ( - v2 64 ) ) v0 ),6
34,( min ( / v0 32 ) ( - ( * v1 2 ) 1 ) ),( min ( / v0 32 ) ( - ( * v1 2 ) 1 ) ),13
35,( * v0 256 ),( * v0 256 ),4
36,( min ( min ( min ( / v0 32 ) ( - ( * v1 2 ) 1 ) ) ( - ( / ( + ( min v2 64 ) v0 ) 32 ) 2 ) ) ( / ( - ( / ( + ( min v2 64 ) v0 ) 16 ) 4 ) 2 ) ),( min ( min ( / v0 32 ) ( - ( * v1 2 ) 1 ) ) ( - ( / ( + ( min v2 64 ) v0 ) 32 ) 2 ) ),13
37,( + ( - ( / ( + ( + v0 v1 ) 126 ) 128 ) ( / v1 128 ) ) 1 ),( + ( - ( / ( + ( + v0 v1 ) 126 ) 128 ) ( / v1 128 ) ) 1 ),12
38,( min ( / ( - ( + ( min v0 194 ) v1 ) 194 ) 32 ) ( + 0 ( / ( - ( + ( min v0 194 ) v1 ) 194 ) 32 ) ) ),( / ( - ( + ( min v0 194 ) v1 ) 194 ) 32 ),6
39,( * v0 256 ),( * v0 256 ),3
40,( + v0 0 ),v0,3
41,( min ( - ( * ( min ( - v0 31 ) v1 ) 2 ) 1 ) ( + ( * ( + 0 ( min ( - v0 31 ) v1 ) ) 2 ) 2 ) ),( - ( * ( min ( - v0 31 ) v1 ) 2 ) 1 ),6
42,( max ( + ( * v0 2 ) 2 ) ( * v0 2 ) ),( + ( * v0 2 ) 2 ),6
43,( / ( + ( % ( + v0 v1 ) 4 ) 262 ) 4 ),( / ( + ( % ( + v0 v1 ) 4 ) 262 ) 4 ),12
44,( + ( / ( - ( + ( min v0 256 ) v1 ) 256 ) 2 ) 128 ),( / ( + ( min v0 256 ) v1 ) 2 ),5
45,( max ( / ( + 7 ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) ) 2 ) ( / ( + ( + 7 ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) ) 1 ) 2 ) ),( / ( + ( max ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) ( min ( / ( - ( + v0 v1 ) 42 ) 8 ) ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) ) ) 7 ) 2 ),55
46,( min ( - ( * v0 2 ) 1 ) ( / v1 2 ) ),( min ( / v1 2 ) ( - ( * v0 2 ) 1 ) ),3
47,( min ( min ( min ( - v0 63 ) v1 ) ( / v2 2 ) ) ( - ( * ( min ( - v3 63 ) v4 ) 2 ) 1 ) ),( min ( min ( min ( - v0 63 ) v1 ) ( / v2 2 ) ) ( - ( * ( min ( - v3 63 ) v4 ) 2 ) 1 ) ),8
48,( / ( + ( + v0 v1 ) 30 ) 32 ),( / ( + ( + v0 v1 ) 30 ) 32 ),3
49,( >= ( / ( + v0 v1 ) 2 ) ( + ( / ( + ( + ( - v0 1 ) v1 ) 1 ) 2 ) 1 ) ),0,41
50,( max ( max ( max ( max ( / ( + ( + v0 v1 ) 30 ) 32 ) ( + ( * v2 2 ) 2 ) ) ( / ( + ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 7 ) 2 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 2 ) 4 ) ) v3 ),( max ( max ( max ( max ( / ( + ( + v0 v1 ) 30 ) 32 ) ( + ( * v2 2 ) 2 ) ) ( / ( + ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 7 ) 2 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 2 ) 4 ) ) v3 ),74
51,( max ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 2 ) ( + 7 ( min ( / ( - ( + v2 v3 ) 50 ) 8 ) ( - ( + ( / ( + ( min v2 8 ) v3 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v2 v3 ) 6 ) 8 ) ( / ( + ( min v2 8 ) v3 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) ) ),( + ( max ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) ( + ( min ( / ( - ( + v2 v3 ) 50 ) 8 ) ( - ( + ( / ( + ( min v2 8 ) v3 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v2 v3 ) 6 ) 8 ) ( / ( + ( min v2 8 ) v3 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) 5 ) ) 2 ),25
52,( / ( + ( - ( + v0 v1 ) 256 ) 262 ) 8 ),( / ( + ( + v0 v1 ) 6 ) 8 ),6
53,( max ( max ( / ( + ( + v0 v1 ) 2 ) 4 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ) ( / ( / ( + v0 v1 ) 2 ) 2 ) ),( max ( / ( + ( + v0 v1 ) 2 ) 4 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ),50
54,( + 7 ( - ( min ( / ( + v0 v1 ) 2 ) ( + ( + ( / ( + ( min v0 8 ) v1 ) 2 ) ( * ( / ( + ( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ) 4 ) 8 ) 8 ) ) 3 ) ) 7 ) ),( min ( / ( + v0 v1 ) 2 ) ( + ( + ( / ( + ( min v0 8 ) v1 ) 2 ) ( * ( / ( + ( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ) 4 ) 8 ) 8 ) ) 3 ) ),49
55,( + 0 ( min ( - v0 31 ) v1 ) ),( min ( - v0 31 ) v1 ),2
56,( + ( max ( min ( + v0 ( * 9 1 ) ) ( - ( + v1 v2 ) 1 ) ) v2 ) ( - ( + ( * v3 v4 ) ( * ( max ( min ( - ( + v5 v6 ) 1 ) v7 ) v6 ) v8 ) ) ( + ( * v6 v8 ) ( + ( * v9 v4 ) v2 ) ) ) ),( + ( max ( - ( min ( + v0 10 ) ( + v1 v2 ) ) 1 ) v2 ) ( - ( + ( * v4 v3 ) ( * ( max ( min ( - ( + v5 v6 ) 1 ) v7 ) v6 ) v8 ) ) ( + ( * v6 v8 ) ( + ( * v9 v4 ) v2 ) ) ) ),17
57,( + ( * ( - ( + v0 v1 ) 1 ) 8 ) v2 ),( - ( + ( * ( + v0 v1 ) 8 ) v2 ) 8 ),7
58,( max ( + ( * v0 2 ) 32 ) ( * ( + ( - ( + 16 0 ) 1 ) v0 ) 2 ) ),( + ( * v0 2 ) 32 ),7
59,( - ( / ( + ( min v0 8 ) v1 ) 2 ) 4 ),( - ( / ( + ( min v0 8 ) v1 ) 2 ) 4 ),10
60,( / ( + ( + 0 v0 ) 1 ) 2 ),( / ( + v0 1 ) 2 ),3
61,( min ( / v0 32 ) ( - ( * v1 2 ) 1 ) ),( min ( / v0 32 ) ( - ( * v1 2 ) 1 ) ),5
62,( / ( + ( max v0 8 ) 7 ) 8 ),( / ( + ( max v0 8 ) 7 ) 8 ),3
63,( max ( + ( * ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) 63 ) v0 ) ( min ( + ( + ( * ( / ( - v2 v3 ) 64 ) 64 ) v3 ) 63 ) v2 ) ) 2 ) 2 ) ( + 7 ( - ( + v4 v5 ) 8 ) ) ),( - ( max ( + ( * ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) 63 ) v0 ) ( min ( + ( + ( * ( / ( - v2 v3 ) 64 ) 64 ) v3 ) 63 ) v2 ) ) 2 ) 3 ) ( + v4 v5 ) ) 1 ),33
64,( min ( + ( * 0 8 ) v0 ) ( - v1 8 ) ),( min ( - v1 8 ) v0 ),4
65,( - ( / ( + ( - ( / ( - ( + ( min ( + ( * ( + v0 v1 ) 8 ) v2 ) ( + v3 1 ) ) ( + v4 v5 ) ) 2 ) 8 ) ( / ( + ( min ( + ( * v1 8 ) v2 ) ( - v3 7 ) ) v5 ) 8 ) ) 8 ) 8 ) 1 ),( / ( - ( / ( - ( + ( min ( + ( * ( + v0 v1 ) 8 ) v2 ) ( + v3 1 ) ) ( + v4 v5 ) ) 2 ) 8 ) ( / ( + ( min ( + ( * v1 8 ) v2 ) ( - v3 7 ) ) v5 ) 8 ) ) 8 ),21
66,( - ( / ( + ( min v0 8 ) v1 ) 2 ) 4 ),( - ( / ( + ( min v0 8 ) v1 ) 2 ) 4 ),25
67,( / v0 64 ),( / v0 64 ),3
68,( + ( min ( / ( - ( + v0 v1 ) 386 ) 64 ) ( + ( / v1 64 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 62 ) 64 ) ( / v1 64 ) ) 8 ) 8 ) ) ) 7 ),( + ( min ( / ( - ( + v0 v1 ) 386 ) 64 ) ( + ( / v1 64 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 62 ) 64 ) ( / v1 64 ) ) 8 ) 8 ) ) ) 7 ),8
69,( + ( / ( - v0 v1 ) 32 ) 1 ),( + ( / ( - v0 v1 ) 32 ) 1 ),10
70,( / ( - ( / ( + ( + v0 v1 ) 62 ) 64 ) ( / v1 64 ) ) 8 ),( / ( - ( / ( + ( + v0 v1 ) 62 ) 64 ) ( / v1 64 ) ) 8 ),5
71,( / ( / ( + ( + v0 v1 ) 1 ) 2 ) 4 ),( / ( + ( + v0 v1 ) 1 ) 8 ),2
72,( max ( max ( max ( / ( + ( min ( / ( - ( + v0 v1 ) 194 ) 32 ) ( + ( / v1 32 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ) 8 ) 8 ) ) ) 7 ) 2 ) ( + ( max ( min ( / ( - ( + v0 v1 ) 386 ) 64 ) ( + ( / v1 64 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 62 ) 64 ) ( / v1 64 ) ) 8 ) 8 ) ) ) ( + ( * ( min ( / ( - ( + v0 v1 ) 770 ) 128 ) ( + ( / v1 128 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 126 ) 128 ) ( / v1 128 ) ) 8 ) 8 ) ) ) 2 ) 9 ) ) 7 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 194 ) 32 ) ( + ( / v1 32 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ) 8 ) 8 ) ) ) 2 ) 4 ) ) ( / ( + ( + 7 ( min ( / ( - ( + v0 v1 ) 194 ) 32 ) ( + ( / v1 32 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ) 8 ) 8 ) ) ) ) 1 ) 2 ) ),( max ( max ( / ( + ( min ( / ( - ( + v0 v1 ) 194 ) 32 ) ( + ( / v1 32 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ) 8 ) 8 ) ) ) 7 ) 2 ) ( + ( max ( min ( / ( - ( + v0 v1 ) 386 ) 64 ) ( + ( / v1 64 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 62 ) 64 ) ( / v1 64 ) ) 8 ) 8 ) ) ) ( + ( * ( min ( / ( - ( + v0 v1 ) 770 ) 128 ) ( + ( / v1 128 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 126 ) 128 ) ( / v1 128 ) ) 8 ) 8 ) ) ) 2 ) 9 ) ) 7 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 194 ) 32 ) ( + ( / v1 32 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ) 8 ) 8 ) ) ) 2 ) 4 ) ),38
73,( min ( - ( * v0 2 ) 1 ) ( + ( * v0 2 ) 1 ) ),( - ( * v0 2 ) 1 ),8
74,( / ( - ( - v0 7 ) v1 ) 8 ),( / ( - ( - v0 v1 ) 7 ) 8 ),6
75,( - ( * ( - ( / ( + v0 v1 ) 2 ) v2 ) v3 ) v4 ),( - ( * ( - ( / ( + v0 v1 ) 2 ) v2 ) v3 ) v4 ),4
76,( - ( / ( + ( min v0 256 ) v1 ) 8 ) 32 ),( - ( / ( + ( min v0 256 ) v1 ) 8 ) 32 ),4
77,( + ( - ( max ( max ( / ( + v0 v1 ) 2 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 32 ) 32 ) v3 ) 31 ) v2 ) 2 ) 2 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 32 ) 32 ) v5 ) 31 ) v4 ) ) ( min ( min ( - v4 31 ) v5 ) ( - ( min ( / ( + ( min v0 64 ) v1 ) 2 ) ( + ( * ( min ( - v2 31 ) v3 ) 2 ) 31 ) ) 32 ) ) ) 1 ),( + ( - ( max ( max ( / ( + v0 v1 ) 2 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 32 ) 32 ) v3 ) 31 ) v2 ) 2 ) 2 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 32 ) 32 ) v5 ) 31 ) v4 ) ) ( min ( min ( - v4 31 ) v5 ) ( - ( min ( / ( + ( min v0 64 ) v1 ) 2 ) ( + ( * ( min ( - v2 31 ) v3 ) 2 ) 31 ) ) 32 ) ) ) 1 ),34
78,( min v0 ( - ( * v1 2 ) 1 ) ),( min ( - ( * v1 2 ) 1 ) v0 ),2
79,( min ( + ( * 0 8 ) v0 ) ( - v1 7 ) ),( min ( - v1 7 ) v0 ),72
80,( / ( - v0 v1 ) 32 ),( / ( - v0 v1 ) 32 ),2
81,( <= ( max 0 ( + ( min ( / ( - ( / ( - ( + v0 v1 ) 98 ) 16 ) ( / v1 16 ) ) 8 ) ( - ( + 0 ( + ( / v2 8 ) 1 ) ) 1 ) ) 1 ) ) 0 ),( <= ( min ( - ( / ( - ( + v0 v1 ) 98 ) 16 ) ( / v1 16 ) ) v2 ) -1 ),60
82,( + v0 ( * ( + ( * v1 2 ) 1 ) ( + v2 1 ) ) ),( + ( * ( + ( * v1 2 ) 1 ) ( + v2 1 ) ) v0 ),4
83,( - ( * ( - ( / ( + v0 v1 ) 2 ) ( / v1 2 ) ) 129 ) v2 ),( - ( * ( - ( / ( + v0 v1 ) 2 ) ( / v1 2 ) ) 129 ) v2 ),6
84,( / ( + ( + v0 v1 ) 3 ) 4 ),( / ( + ( + v0 v1 ) 3 ) 4 ),3
85,( min ( + ( * 0 64 ) v0 ) ( - ( + v1 v0 ) 64 ) ),( - ( + ( min v1 64 ) v0 ) 64 ),11
86,( / ( + v0 7 ) 8 ),( / ( + v0 7 ) 8 ),6
87,( + 7 ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( + ( / v1 8 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / v1 8 ) ) 8 ) 8 ) ) ) ),( + ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( + ( / v1 8 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / v1 8 ) ) 8 ) 8 ) ) ) 7 ),12
88,( min ( / v0 2 ) v1 ),( min ( / v0 2 ) v1 ),3
89,( min ( min ( / v0 2 ) v1 ) v2 ),( min ( min ( / v0 2 ) v1 ) v2 ),4
90,( + ( - ( + ( max ( / ( min ( / ( - ( + v0 v1 ) 386 ) 64 ) ( + ( / v1 64 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 62 ) 64 ) ( / v1 64 ) ) 8 ) 8 ) ) ) 2 ) ( + ( min ( / ( - ( + v0 v1 ) 770 ) 128 ) ( + ( / v1 128 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 126 ) 128 ) ( / v1 128 ) ) 8 ) 8 ) ) ) 3 ) ) 4 ) ( / ( - ( + ( min v0 770 ) v1 ) 770 ) 128 ) ) 1 ),( + ( - ( max ( / ( min ( / ( - ( + v0 v1 ) 386 ) 64 ) ( + ( / v1 64 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 62 ) 64 ) ( / v1 64 ) ) 8 ) 8 ) ) ) 2 ) ( + ( min ( / ( - ( + v0 v1 ) 770 ) 128 ) ( + ( / v1 128 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 126 ) 128 ) ( / v1 128 ) ) 8 ) 8 ) ) ) 3 ) ) ( / ( - ( + ( min v0 770 ) v1 ) 770 ) 128 ) ) 5 ),29
91,( + ( * ( min ( - v0 15 ) v1 ) 2 ) 32 ),( + ( * ( min ( - v0 15 ) v1 ) 2 ) 32 ),6
