ID,Expression
16,( <= ( max ( + ( min 17 ( - ( + ( * v1 5 ) 5 ) 1 ) ) 1 ) ( min ( max 0 ( * v1 5 ) ) ( + 5 ( * v1 5 ) ) ) ) ( min ( max 0 ( * v1 5 ) ) ( + 5 ( * v1 5 ) ) ) )
17,( <= ( max ( + ( min ( + ( * v0 -16 ) 62 ) ( - ( + 0 16 ) 1 ) ) 1 ) ( min ( max ( + ( * v0 -16 ) 62 ) 0 ) ( + 16 0 ) ) ) ( min ( max ( + ( * v0 -16 ) 62 ) 0 ) ( + 16 0 ) ) )
18,( <= ( max ( + ( min ( min 1999 ( - ( min ( + v1 v2 ) 2000 ) 1 ) ) ( - ( + v4 v3 ) 1 ) ) 1 ) ( min ( max ( max ( max ( max 0 0 ) ( max v2 0 ) ) ( max v2 0 ) ) v4 ) ( + v3 v4 ) ) ) ( min ( max ( max ( max ( max 0 0 ) ( max v2 0 ) ) ( max v2 0 ) ) v4 ) ( + v3 v4 ) ) )
19,( >= ( - ( * ( / ( - -136 ( % ( + v0 v1 ) 8 ) ) 8 ) 2 ) 8 ) ( - ( + ( - ( * ( / ( - -136 ( % ( + v0 v1 ) 8 ) ) 8 ) 2 ) 8 ) ( + ( * ( / ( + ( % ( + v0 v1 ) 8 ) 151 ) 8 ) 2 ) 9 ) ) 1 ) )
20,( != ( / ( + v0 76 ) 64 ) 0 )
21,( >= ( - v0 2 ) ( + ( + ( - v0 1 ) 1 ) 1 ) )
22,( == ( * ( / ( * v0 -136 ) 4 ) 4 ) ( * v0 -136 ) )
23,( == ( - ( * ( min v0 253 ) 8 ) 36 ) ( - ( + ( - ( * ( min v0 253 ) 8 ) 36 ) ( + ( * v1 8 ) 16 ) ) 1 ) )
24,( && ( && ( && ( && ( && ( && 1 ( <= ( + 0 ( + ( * v0 128 ) v1 ) ) ( + ( * v0 128 ) v1 ) ) ) ( >= ( + 3 ( + ( + ( * v0 128 ) v1 ) 124 ) ) ( + ( + ( * v0 128 ) v1 ) 127 ) ) ) ( <= v2 v2 ) ) ( >= ( + v2 1 ) ( + v2 1 ) ) ) ( <= 0 0 ) ) ( >= 2 2 ) )
25,( < ( - ( + v0 v1 ) 11 ) ( - ( + ( + v0 1 ) v1 ) 14 ) )
26,( < ( - ( + ( * v0 8 ) ( + ( * v1 3 ) v2 ) ) 5 ) ( - ( + ( * v0 8 ) ( + ( * v1 3 ) ( + v2 1 ) ) ) 5 ) )
27,( <= ( max 0 ( + ( min ( / ( + ( % v0 4 ) 54 ) 16 ) ( - ( + 0 5 ) 1 ) ) 1 ) ) 0 )
28,( < ( + ( + v0 v1 ) 125 ) ( - ( + v0 ( + v1 1 ) ) 5 ) )
29,( == ( - ( * ( min ( * v0 2 ) 251 ) 8 ) 20 ) ( - ( + ( - ( * ( min ( * v0 2 ) 251 ) 8 ) 20 ) ( + ( * v1 8 ) 208 ) ) 1 ) )
30,( == 0 ( - ( + 0 ( + ( * ( max ( min v0 -1 ) -3 ) 2 ) 6 ) ) 1 ) )
31,( != ( / ( + v0 67 ) 64 ) 0 )
32,( && ( && ( && ( && ( && ( && 1 ( <= ( + 0 v0 ) ( + 0 v0 ) ) ) ( >= ( + ( - ( + 255 0 ) 1 ) v0 ) ( + ( - ( + 255 0 ) 1 ) v0 ) ) ) ( <= ( + ( + ( * 0 4 ) v1 ) 0 ) ( + ( + ( * 0 4 ) 0 ) v1 ) ) ) ( >= ( + ( + ( * 7 4 ) v1 ) 3 ) ( + ( + ( * ( - ( + 8 0 ) 1 ) 4 ) ( - ( + 4 0 ) 1 ) ) v1 ) ) ) ( <= v2 v2 ) ) ( >= v2 v2 ) )
33,( >= ( - ( + ( min ( * v0 63 ) 62 ) ( + v1 v2 ) ) 10 ) ( - ( + ( - ( + ( min ( * v0 63 ) 62 ) ( + v1 v2 ) ) 10 ) 81 ) 1 ) )
34,( == ( * ( / ( * v0 -256 ) 4 ) 4 ) ( * v0 -256 ) )
35,( && ( && ( && ( && ( && ( && 1 ( <= ( + 0 ( / ( - ( + ( min v0 4 ) v1 ) 36 ) 16 ) ) ( + -2 ( / ( - ( + ( min v0 4 ) v1 ) 4 ) 16 ) ) ) ) ( >= ( + 3 ( + ( / ( - ( + ( min v0 4 ) v1 ) 36 ) 16 ) ( * ( / ( + ( - ( + ( / ( + ( + ( min v0 4 ) v1 ) 44 ) 16 ) ( * ( / v2 4 ) 4 ) ) ( / ( - ( + ( min v0 4 ) v1 ) 36 ) 16 ) ) 3 ) 4 ) 4 ) ) ) ( + 3 ( + ( / ( + ( + ( min v0 4 ) v1 ) 44 ) 16 ) ( * ( / v2 4 ) 4 ) ) ) ) ) ( <= ( - ( max ( * v3 8 ) ( + ( * v4 8 ) 5 ) ) 1 ) ( + ( - ( + ( * ( + ( * v4 2 ) 0 ) 4 ) 0 ) 2 ) 1 ) ) ) ( >= ( + ( * v4 8 ) 11 ) ( + ( + ( + ( * ( + ( * v4 2 ) 1 ) 4 ) 3 ) 3 ) 1 ) ) ) ( <= 0 0 ) ) ( >= 63 63 ) )
36,( == ( - ( * v0 4 ) 177 ) ( - ( + ( - ( * v0 4 ) 177 ) ( + ( * ( min ( - ( - ( * ( / ( - ( + v1 v2 ) 1 ) 250 ) 64 ) ( * v3 35 ) ) ( * ( / v2 250 ) 64 ) ) -70 ) 4 ) 423 ) ) 1 ) )
37,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( / v0 4 ) 2 ) ( + ( + ( * 0 4 ) ( - ( / v0 4 ) 2 ) ) 0 ) ) ) ( >= ( / ( + v0 531 ) 4 ) ( + ( + ( * ( / ( + ( % v0 4 ) 539 ) 16 ) 4 ) ( + ( / v0 4 ) 130 ) ) 3 ) ) ) ( <= ( + 0 ( min ( * ( / v1 4 ) 4 ) ( - ( * ( + ( / v1 4 ) ( / ( + ( % v1 4 ) 503 ) 4 ) ) 4 ) 3 ) ) ) ( * ( / v1 4 ) 4 ) ) ) ( >= ( + 3 ( - ( * ( + ( / v1 4 ) ( / ( + ( % v1 4 ) 503 ) 4 ) ) 4 ) 3 ) ) ( * ( - ( + ( / ( + ( % v1 4 ) 507 ) 4 ) ( / v1 4 ) ) 1 ) 4 ) ) ) ( <= v2 v2 ) ) ( >= v2 v2 ) )
38,( <= ( max ( + ( min ( min ( min ( - ( / v2 128 ) 1 ) ( - ( / ( min ( min ( - 2127 v1 ) v2 ) ( + ( - ( + v3 v4 ) v1 ) 127 ) ) 128 ) 1 ) ) ( / ( - 1872 v1 ) 128 ) ) ( - ( + 0 ( / ( + v2 127 ) 128 ) ) 1 ) ) 1 ) ( min ( max ( max ( - 0 ( / v1 128 ) ) ( max ( / ( + ( - v4 v1 ) 127 ) 128 ) ( - 0 ( / v1 128 ) ) ) ) 0 ) ( + ( / ( + v2 127 ) 128 ) 0 ) ) ) ( min ( max ( max ( - 0 ( / v1 128 ) ) ( max ( / ( + ( - v4 v1 ) 127 ) 128 ) ( - 0 ( / v1 128 ) ) ) ) 0 ) ( + ( / ( + v2 127 ) 128 ) 0 ) ) )
39,( != ( / ( + ( * v0 8 ) 46 ) 36 ) 0 )
40,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( + 0 ( + ( min v0 4 ) v1 ) ) 4 ) ( + 0 ( - ( + ( min v0 4 ) v1 ) 4 ) ) ) ) ( >= ( - ( + 503 ( + ( * ( / ( - ( max v0 4 ) 1 ) 500 ) 500 ) ( + ( min v0 4 ) v1 ) ) ) 4 ) ( + ( - ( + 4 0 ) 1 ) ( - ( + v0 v1 ) 4 ) ) ) ) ( <= ( + ( min ( * v2 63 ) 62 ) v3 ) ( + ( + ( min ( * v2 63 ) 62 ) 0 ) v3 ) ) ) ( >= ( + ( + ( min ( * v2 63 ) 62 ) v3 ) 62 ) ( + ( + ( min ( * v2 63 ) 62 ) ( - ( + 63 0 ) 1 ) ) v3 ) ) ) ( <= v4 v4 ) ) ( >= v4 v4 ) )
41,( == ( * ( / ( * v0 -34 ) 17 ) 17 ) ( * v0 -34 ) )
42,( == ( * ( / ( * ( min ( * ( min ( + ( * v3 32 ) ( + ( / v2 4 ) 31 ) ) ( / ( + ( + v1 v2 ) 3 ) 4 ) ) 4 ) ( + ( max ( * ( min ( + ( * v3 32 ) ( + ( / v2 4 ) 29 ) ) ( / ( + ( + v1 v2 ) 3 ) 4 ) ) 4 ) ( + ( * v3 128 ) ( + ( * ( / v2 4 ) 4 ) 109 ) ) ) 4 ) ) -1 ) 4 ) 4 ) ( * ( min ( * ( min ( + ( * v3 32 ) ( + ( / v2 4 ) 31 ) ) ( / ( + ( + v1 v2 ) 3 ) 4 ) ) 4 ) ( + ( max ( * ( min ( + ( * v3 32 ) ( + ( / v2 4 ) 29 ) ) ( / ( + ( + v1 v2 ) 3 ) 4 ) ) 4 ) ( + ( * v3 128 ) ( + ( * ( / v2 4 ) 4 ) 109 ) ) ) 4 ) ) -1 ) )
43,( < ( + ( + ( * v0 500 ) v1 ) 499 ) ( + ( * ( + v0 1 ) 500 ) v1 ) )
44,( == ( - 0 ( * ( + v0 v1 ) 2 ) ) ( - 499 ( * ( + v0 v1 ) 2 ) ) )
45,( == 0 ( - ( + 0 ( - 6 ( * ( max ( min v0 3 ) 1 ) 2 ) ) ) 1 ) )
46,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( + ( * v0 63 ) v1 ) 11 ) ( - ( + ( * v0 63 ) v1 ) 11 ) ) ) ( >= ( + ( + ( min ( * v0 63 ) 943 ) v1 ) 63 ) ( - ( + ( - 1018 ( max ( * v0 63 ) 943 ) ) ( - ( + ( * v0 63 ) v1 ) 11 ) ) 1 ) ) ) ( <= ( + 0 v2 ) ( + ( + ( * 0 4 ) 0 ) v2 ) ) ) ( >= ( + 3 ( + v2 12 ) ) ( + ( + ( * ( - ( + 4 0 ) 1 ) 4 ) ( - ( + 4 0 ) 1 ) ) v2 ) ) ) ( <= v3 v3 ) ) ( >= v3 v3 ) )
47,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + ( * v0 4 ) v1 ) 0 ) ( + ( + ( * v0 4 ) 0 ) v1 ) ) ) ( >= ( + ( + ( * v0 4 ) v1 ) 3 ) ( + ( + ( * v0 4 ) ( - ( + 4 0 ) 1 ) ) v1 ) ) ) ( <= v2 ( + 0 v2 ) ) ) ( >= ( + v2 124 ) ( + ( - ( + 125 0 ) 1 ) v2 ) ) ) ( <= 0 0 ) ) ( >= 0 0 ) )
48,( < ( + ( + ( * v0 8 ) v1 ) 8 ) ( - ( + ( * ( + v0 1 ) 8 ) v1 ) 3 ) )
49,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( - ( + ( * 0 4 ) v0 ) 2 ) 0 ) ( - ( + ( + ( * 0 4 ) 0 ) v0 ) 2 ) ) ) ( >= ( + ( + ( + ( * 7 4 ) v0 ) ( - ( - 6 2 ) 1 ) ) 3 ) ( + ( + ( + ( * 7 4 ) ( - ( + 4 0 ) 1 ) ) v0 ) ( - ( - 6 2 ) 1 ) ) ) ) ( <= ( + -2 v1 ) ( + -2 v1 ) ) ) ( >= ( + ( - ( - 6 2 ) 1 ) v1 ) ( + ( - ( - 6 2 ) 1 ) v1 ) ) ) ( <= ( + ( * v2 2 ) v3 ) ( + ( * v2 2 ) v3 ) ) ) ( >= ( + ( * v2 2 ) v3 ) ( + ( * v2 2 ) v3 ) ) )
50,( >= ( + ( % v0 250 ) 1999 ) 0 )
51,( && ( && ( && ( && ( && ( && 1 ( <= ( + v0 v1 ) ( + v0 v1 ) ) ) ( >= ( + v0 v1 ) ( + v0 v1 ) ) ) ( <= 0 0 ) ) ( >= 0 0 ) ) ( <= ( + ( * v2 4 ) 0 ) ( + ( * v2 4 ) 0 ) ) ) ( >= ( + ( * v2 4 ) 3 ) ( + ( * v2 4 ) ( - ( + 4 0 ) 1 ) ) ) )
52,( && ( && ( && ( && ( && ( && 1 ( <= 0 0 ) ) ( >= ( - 16 1 ) ( - 16 1 ) ) ) ( <= ( + ( + ( * 0 4 ) ( + ( * v0 4 ) ( + ( * v1 8 ) v2 ) ) ) 0 ) ( + ( * v0 4 ) ( + ( * v1 8 ) v2 ) ) ) ) ( >= ( + ( + ( * 0 4 ) ( + ( * v0 4 ) ( + ( * v1 8 ) v2 ) ) ) 3 ) ( + ( + ( * v0 4 ) ( + ( * v1 8 ) v2 ) ) 3 ) ) ) ( <= v3 v3 ) ) ( >= v3 v3 ) )
53,( <= ( max ( + ( min ( min ( min ( min ( - ( / ( + v1 v2 ) 4 ) 1 ) ( / ( - ( + v1 v2 ) 5 ) 4 ) ) ( / ( - ( + v1 v2 ) 3 ) 4 ) ) ( / ( - ( + v1 v2 ) 2 ) 4 ) ) ( - ( + ( - v4 2 ) ( + ( min v3 30 ) 2 ) ) 1 ) ) 1 ) ( min ( max ( max ( max ( max ( / v2 4 ) ( / ( - v2 1 ) 4 ) ) ( / ( + v2 1 ) 4 ) ) ( / ( + v2 2 ) 4 ) ) ( - v4 2 ) ) ( + ( + ( min v3 30 ) 2 ) ( - v4 2 ) ) ) ) ( min ( max ( max ( max ( max ( / v2 4 ) ( / ( - v2 1 ) 4 ) ) ( / ( + v2 1 ) 4 ) ) ( / ( + v2 2 ) 4 ) ) ( - v4 2 ) ) ( + ( + ( min v3 30 ) 2 ) ( - v4 2 ) ) ) )
54,( <= ( + ( * ( max ( - ( max ( min ( * ( + ( * v0 64 ) v1 ) 2 ) 491 ) -8 ) ( max ( min ( * ( + ( * v0 64 ) v1 ) 2 ) 499 ) 0 ) ) ( - ( max ( min ( * ( + ( * ( + ( * v0 16 ) v2 ) 4 ) v1 ) 2 ) 491 ) -8 ) ( max ( min ( * ( + ( * ( + ( * v0 16 ) v2 ) 4 ) v1 ) 2 ) 499 ) 0 ) ) ) 4 ) 40 ) 1024 )
55,( < ( + ( + ( / ( + ( min v0 4 ) v1 ) 4 ) ( * v2 16 ) ) 22 ) ( - ( + ( / ( + ( min v0 4 ) v1 ) 4 ) ( * ( + v2 1 ) 16 ) ) 3 ) )
56,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + ( * ( + ( * v0 2 ) v1 ) 4 ) v2 ) 0 ) ( + ( * ( + ( * v0 2 ) v1 ) 4 ) v2 ) ) ) ( >= ( + ( + ( * ( + ( * v0 2 ) v1 ) 4 ) v2 ) 3 ) ( + ( + ( * ( + ( * v0 2 ) v1 ) 4 ) 3 ) v2 ) ) ) ( <= 0 0 ) ) ( >= 0 0 ) ) ( <= v3 v3 ) ) ( >= v3 v3 ) )
57,( && ( && ( && ( && ( && ( && 1 ( <= ( + v0 v1 ) ( + v0 v1 ) ) ) ( >= ( + v0 v1 ) ( + v0 v1 ) ) ) ( <= ( + 0 ( / v2 4 ) ) ( / v2 4 ) ) ) ( >= ( + 3 ( + ( / v2 4 ) 29 ) ) ( + ( / v2 4 ) 32 ) ) ) ( <= 0 0 ) ) ( >= 2 2 ) )
58,( == ( - ( * ( max ( min ( * ( / v0 125 ) 8 ) 125 ) 1 ) 16 ) 20 ) ( - ( + ( - ( * ( max ( min ( * ( / v0 125 ) 8 ) 125 ) 1 ) 16 ) 20 ) ( + ( * v1 16 ) 208 ) ) 1 ) )
59,( == 0 ( - ( + 0 ( - 33 ( max ( * v0 12 ) 21 ) ) ) 1 ) )
60,( > ( - 4 ( * ( + ( * v0 4 ) v1 ) 2 ) ) ( - 509 ( * ( + ( * v0 4 ) v1 ) 2 ) ) )
61,( == 0 ( - ( + 0 ( - 62 ( max ( * v0 16 ) 46 ) ) ) 1 ) )
62,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + ( * 0 4 ) v0 ) 0 ) ( + ( + ( * 0 4 ) 0 ) v0 ) ) ) ( >= ( + ( + ( * 1 4 ) v0 ) 3 ) ( + ( + ( * ( - ( + 2 0 ) 1 ) 4 ) ( - ( + 4 0 ) 1 ) ) v0 ) ) ) ( <= ( + ( + ( * v1 125 ) v2 ) v3 ) ( + ( + ( * v1 125 ) v2 ) v3 ) ) ) ( >= ( + ( + ( * v1 125 ) v2 ) v3 ) ( + ( + ( * v1 125 ) v2 ) v3 ) ) ) ( <= v4 v4 ) ) ( >= v4 v4 ) )
63,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( * ( + ( * v0 2 ) v1 ) 2 ) v2 ) ( + ( * ( + ( * v0 2 ) v1 ) 2 ) v2 ) ) ) ( >= ( + ( + ( * ( + ( * v0 2 ) v1 ) 2 ) v2 ) 1 ) ( + ( + ( * ( + ( * v0 2 ) v1 ) 2 ) 1 ) v2 ) ) ) ( <= 0 0 ) ) ( >= 0 0 ) ) ( <= ( + ( * v3 4 ) 0 ) ( + ( * v3 4 ) 0 ) ) ) ( >= ( + ( * v3 4 ) 3 ) ( + ( * v3 4 ) ( - ( + 4 0 ) 1 ) ) ) )
64,( < ( + ( + ( + ( min ( * v0 2 ) 123 ) v1 ) v2 ) 1 ) ( + ( + ( min ( * v0 2 ) 123 ) v1 ) ( + v2 1 ) ) )
65,( == ( * ( / ( * ( min ( + ( - ( * v0 8 ) ( min ( + ( * v0 8 ) ( * ( * v1 8 ) 8 ) ) ( + ( * v2 64 ) 81 ) ) ) ( * ( * v1 8 ) 8 ) ) 7 ) -4 ) 4 ) 4 ) ( * ( min ( + ( - ( * v0 8 ) ( min ( + ( * v0 8 ) ( * ( * v1 8 ) 8 ) ) ( + ( * v2 64 ) 81 ) ) ) ( * ( * v1 8 ) 8 ) ) 7 ) -4 ) )
66,( != ( / ( + ( * v0 2 ) 77 ) 65 ) 0 )
67,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + ( * v0 4 ) v1 ) 0 ) ( + ( + ( * v0 4 ) 0 ) v1 ) ) ) ( >= ( + ( + ( * v0 4 ) v1 ) 3 ) ( + ( + ( * v0 4 ) ( - ( + 4 0 ) 1 ) ) v1 ) ) ) ( <= ( + v2 v3 ) ( + v2 v3 ) ) ) ( >= ( + v2 v3 ) ( + v2 v3 ) ) ) ( <= ( + ( * v4 3 ) v5 ) ( + ( * v4 3 ) v5 ) ) ) ( >= ( + ( * v4 3 ) v5 ) ( + ( * v4 3 ) v5 ) ) )
68,( == ( - ( max ( * v0 63 ) 62 ) 124 ) ( - ( + ( - ( max ( * v0 63 ) 62 ) 124 ) ( - 129 ( max ( * v0 63 ) 62 ) ) ) 1 ) )
69,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + ( * 0 4 ) v0 ) 0 ) ( + ( + ( * 0 4 ) 0 ) v0 ) ) ) ( >= ( + ( + ( * 1 4 ) v0 ) 3 ) ( + ( + ( * ( - ( + 2 0 ) 1 ) 4 ) ( - ( + 4 0 ) 1 ) ) v0 ) ) ) ( <= ( + ( * v1 2 ) v2 ) ( + ( + ( * v1 2 ) 0 ) v2 ) ) ) ( >= ( + ( + ( * v1 2 ) v2 ) 1 ) ( + ( + ( * v1 2 ) ( - ( + 2 0 ) 1 ) ) v2 ) ) ) ( <= ( + ( min ( * v3 69 ) 68 ) v4 ) ( + ( min ( * v3 69 ) 68 ) v4 ) ) ) ( >= ( + ( min ( * v3 69 ) 68 ) v4 ) ( + ( min ( * v3 69 ) 68 ) v4 ) ) )
70,( && ( && ( && ( && ( && ( && 1 ( <= ( + 0 ( + ( + ( min ( max ( * v0 252 ) -13 ) ( + ( * v0 252 ) 248 ) ) v1 ) 3 ) ) ( - ( + 0 ( + ( * v0 252 ) v1 ) ) 10 ) ) ) ( >= ( + 3 ( + ( min ( + ( + ( * ( / ( min ( * v0 252 ) -13 ) 4 ) 4 ) ( + ( max ( * v0 252 ) -13 ) v1 ) ) 16 ) ( + ( * v0 252 ) v1 ) ) 251 ) ) ( + ( + 3 ( + ( + ( * v0 252 ) v1 ) 252 ) ) 2 ) ) ) ( <= ( - v2 7 ) ( - v2 7 ) ) ) ( >= ( + v3 4 ) ( + v3 4 ) ) ) ( <= 0 0 ) ) ( >= 2 2 ) )
71,( != ( / ( + ( * v0 4 ) 131 ) 126 ) 0 )
72,( && ( && ( && ( && ( && ( && 1 ( <= ( + 0 ( + ( + ( min ( * v0 32 ) 220 ) ( * v1 4 ) ) v2 ) ) ( + ( + ( min ( * v0 32 ) 220 ) ( * v1 4 ) ) v2 ) ) ) ( >= ( + 3 ( + ( + ( min ( * v0 32 ) 220 ) ( * v1 4 ) ) v2 ) ) ( + ( + ( + ( min ( * v0 32 ) 220 ) ( * v1 4 ) ) 3 ) v2 ) ) ) ( <= 0 0 ) ) ( >= 0 0 ) ) ( <= v3 v3 ) ) ( >= v3 v3 ) )
73,( >= ( - 4 ( * ( + ( * v0 4 ) v1 ) 2 ) ) ( - 509 ( * ( + ( * v0 4 ) v1 ) 2 ) ) )
74,( == ( / ( - -165 ( % ( + v0 v1 ) 8 ) ) 8 ) ( - ( + ( / ( - -165 ( % ( + v0 v1 ) 8 ) ) 8 ) ( / ( + ( % ( + v0 v1 ) 8 ) 180 ) 8 ) ) 1 ) )
75,( <= ( + ( max ( - ( max ( min ( + ( min ( * v0 8 ) 117 ) v1 ) 1989 ) -10 ) ( max ( min ( + ( * v0 8 ) v1 ) 1996 ) -3 ) ) ( + ( - ( max ( min v1 1989 ) -10 ) ( max ( min v1 2001 ) 2 ) ) 5 ) ) 8 ) 1024 )
76,( <= ( max ( + ( min ( - 126 v0 ) ( - ( + 0 33 ) 1 ) ) 1 ) ( min ( max ( - 2 v0 ) 0 ) ( + 33 0 ) ) ) ( min ( max ( - 2 v0 ) 0 ) ( + 33 0 ) ) )
77,( <= ( + v0 1 ) ( - ( - ( - v0 1 ) 5 ) 1 ) )
78,( == ( * ( / ( min ( + ( * v0 8 ) ( - ( * ( / v1 250 ) 8 ) 5 ) ) ( - ( * ( / ( - ( + v2 v1 ) 1 ) 250 ) 8 ) 5 ) ) 8 ) 8 ) ( min ( + ( * v0 8 ) ( - ( * ( / v1 250 ) 8 ) 5 ) ) ( - ( * ( / ( - ( + v2 v1 ) 1 ) 250 ) 8 ) 5 ) ) )
